Distributor Segmentation,,,,,,,Customer Segmentation,,,,,,,Rep Performance & Incentive Compensation,,,,,,,,,Year-over-Year Growth by Market,,,,,
Distributor,Total Sales,Rank,Cumulative %,Segment,,,Customer Name,Country,Channel,Total Sales,Rank,Segment,,Rep,Manager,Team,Total Sales,Segment,Target,Attainment %,Payout Tier,,Country,2018,2019,2020,2019 Growth %,2020 Growth %
Carter-Conn,7254859,26,0.999185004,C - Long Tail,,,"Lebsack, Yost and Heller Pharma Plc",Germany,Pharmacy,19922088,79,Standard Account,,,,,,,,,,,,,,,,
Rogahn-Klein,7137098,27,0.999789895,C - Long Tail,,,Hermiston LLC Pharm,Germany,Pharmacy,14705734,166,Standard Account,,,,,,,,,,,,,,,,
Kris LLC,1307173,28,0.999900682,C - Long Tail,,,D'Amore and Sons Pharm,Germany,Pharmacy,26467886,25,Growth Account,,,,,,,,,,,,,,,,
Lindgren-Simonis Pharm,17893209,22,0.995046389,C - Long Tail,,,Jacobs-Jones Pharma Plc,Germany,Pharmacy,18970897,87,Standard Account,,,,,,,,,,,,,,,,
Cassin,58656073,16,0.97880826,C - Long Tail,,,Barrows-Kohler Pharma Plc,Germany,Pharmacy,24862159,35,Growth Account,,,,,,,,,,,,,,,,
Gottlieb-Cruickshank,47975857,17,0.982874359,C - Long Tail,,,Gleason PLC Pharmaceutical Limited,Germany,Pharmacy,22282456,52,Standard Account,,,,,,,,,,,,,,,,
Smith Inc,119547346,13,0.958753996,C - Long Tail,,,Abernathy Group Pharmacy,Germany,Pharmacy,34635271,7,Key Account,,,,,,,,,,,,,,,,
Prohaska-Kuhic,81980608,15,0.97383698,C - Long Tail,,,Osinski-Botsford Pharm,Germany,Pharmacy,17335979,124,Standard Account,,,,,,,,,,,,,,,,
Beier,150834351,9,0.913903314,C - Long Tail,,,McDermott Inc Pharma Plc,Germany,Pharmacy,29943117,15,Growth Account,,,,,,,,,,,,,,,,
Stehr-Champlin,128514861,12,0.948621996,C - Long Tail,,,Crist Inc Pharma Plc,Germany,Pharmacy,14113368,173,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Pfeffer-Hodkiewicz Pharm,Germany,Pharmacy,15917456,150,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Koss Ltd Pharmaceutical Ltd,Germany,Pharmacy,20745807,67,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Kozey Ltd Pharmacy,Germany,Pharmacy,21782008,56,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Leuschke, Waters and Schowalter Pharma Plc",Germany,Pharmacy,20001994,78,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Wunsch, Mills and Walter Pharm",Germany,Pharmacy,21947346,54,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Breitenberg-Kuhn Pharma Plc,Germany,Pharmacy,19173245,86,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Buckridge, Dach and Carroll",Germany,Pharmacy,18470960,96,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Cartwright-Fay Pharmaceutical Ltd,Germany,Pharmacy,16730721,133,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Huel Inc Pharm,Germany,Pharmacy,24169351,39,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Leffler-Russel Pharmaceutical Ltd,Germany,Pharmacy,20622800,70,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Sauer and Sons,Germany,Pharmacy,13536070,183,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Schaefer-Rolfson Pharma Plc,Germany,Pharmacy,15895407,152,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Yundt, Leuschke and Ward Pharma Plc",Germany,Pharmacy,18451676,98,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Emard-O'Connell Pharmaceutical Ltd,Germany,Pharmacy,20531534,72,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Franecki Inc Pharma Plc,Germany,Pharmacy,14514932,168,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,VonRueden-Adams Pharm,Germany,Pharmacy,18137914,106,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Kuhic LLC,Germany,Pharmacy,17671833,114,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Hansen, Fadel and Schroeder Pharmaceutical Ltd",Germany,Pharmacy,18099093,107,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Monahan Ltd Pharmaceutical Ltd,Germany,Pharmacy,18213409,103,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Miller-Satterfield Pharmaceutical Limited,Germany,Pharmacy,21825298,55,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Hahn, Rutherford and Gislason Pharmacy",Germany,Pharmacy,13647046,179,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Heathcote, Kovacek and Parker",Germany,Pharmacy,16331539,139,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Hermiston LLC Pharmaceutical Ltd,Germany,Pharmacy,16170352,144,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Romaguera, Moen and Hagenes Pharm",Germany,Pharmacy,21255149,64,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Cummings LLC Pharmaceutical Ltd,Germany,Pharmacy,20236110,75,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Reynolds, Jast and Mante",Germany,Pharmacy,21740500,58,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Cassin PLC Pharmaceutical Limited,Germany,Pharmacy,21760605,57,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Hayes-Kilback Pharmaceutical Limited,Germany,Pharmacy,37181108,4,Key Account,,,,,,,,,,,,,,,,
,,,,,,,"Hirthe, Williamson and Macejkovic",Germany,Pharmacy,20701441,68,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Zieme, Doyle and Kunze Pharmacy",Germany,Pharmacy,14150953,172,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Schulist-Zulauf Pharmaceutical Ltd,Germany,Pharmacy,17355962,123,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Monahan Ltd Pharma Plc,Germany,Pharmacy,22617294,50,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Hoeger Ltd,Germany,Pharmacy,23303292,43,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Upton, Abernathy and Goodwin Pharm",Germany,Pharmacy,16472204,136,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Nitzsche, Effertz and Maggio Pharmaceutical Limited",Germany,Pharmacy,23174533,44,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Pfannerstill Group Pharmaceutical Limited,Germany,Pharmacy,16547668,135,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Hermiston and Sons Pharmaceutical Ltd,Germany,Pharmacy,16744798,132,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Torphy, Pfeffer and Jakubowski Pharmaceutical Ltd",Germany,Pharmacy,13807772,177,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Carter-Conn Pharmaceutical Ltd,Germany,Pharmacy,16124613,145,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Block-Romaguera,Germany,Pharmacy,21344191,62,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Buckridge, Hand and Hyatt",Germany,Pharmacy,13511491,184,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Hermiston and Sons Pharmacy,Germany,Pharmacy,17283582,126,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Rogahn-Klein Pharma Plc,Germany,Pharmacy,23135473,46,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Hansen, Fadel and Schroeder Pharma Plc",Germany,Pharmacy,18012485,108,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Reinger Group Pharmaceutical Limited,Germany,Pharmacy,18358327,100,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Funk and Sons Pharm,Germany,Pharmacy,13871742,176,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Walter Ltd Pharmaceutical Limited,Germany,Pharmacy,13129693,187,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Runolfsson-Halvorson Pharmacy,Germany,Pharmacy,17223509,128,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Heathcote, Grant and Witting Pharmaceutical Limited",Germany,Pharmacy,22097548,53,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Sauer and Sons Pharmacy,Germany,Pharmacy,15935851,149,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Gibson-Hill Pharmaceutical Limited,Germany,Pharmacy,24554301,37,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Wintheiser, Breitenberg and Gottlieb Pharma Plc",Germany,Pharmacy,19647009,81,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Rohan and Sons Pharmaceutical Limited,Germany,Pharmacy,11842430,195,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,McKenzie-Zemlak Pharma Plc,Germany,Pharmacy,28444161,18,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Balistreri Group Pharmacy,Germany,Pharmacy,13660437,178,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Franecki Inc Pharmacy,Germany,Pharmacy,16460568,137,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Raynor-Graham Pharma Plc,Germany,Pharmacy,19343253,84,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Kozey Ltd Pharma Plc,Germany,Pharmacy,36209584,5,Key Account,,,,,,,,,,,,,,,,
,,,,,,,Denesik-Hintz Pharma Plc,Germany,Pharmacy,14681500,167,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Wisozk, Brekke and Bartoletti Pharmacy",Germany,Pharmacy,18179497,104,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Mante-Grady Pharmaceutical Ltd,Germany,Pharmacy,16037517,147,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Steuber, Hills and Botsford Pharma Plc",Germany,Pharmacy,17795955,112,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Smith Inc Pharm,Germany,Pharmacy,13889587,175,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Beier PLC Pharm,Germany,Pharmacy,25378116,33,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Bogan, Jacobs and Kris Pharmaceutical Limited",Germany,Pharmacy,13625131,180,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Wiegand, Jast and Yost",Germany,Pharmacy,15396422,160,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Hammes, Bashirian and Pacocha Pharmacy",Germany,Pharmacy,11667849,196,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Schimmel-Waelchi Pharmaceutical Limited,Germany,Pharmacy,18476676,94,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Cormier, Dietrich and Zulauf Pharmacy",Germany,Pharmacy,28329883,20,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Gleichner, Bahringer and Morar Pharmaceutical Limited",Germany,Pharmacy,43779381,3,Key Account,,,,,,,,,,,,,,,,
,,,,,,,Sipes and Sons Pharmaceutical Limited,Germany,Pharmacy,14964183,164,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Corkery, Trantow and Ferry Pharma Plc",Germany,Pharmacy,20195908,76,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Jacobs-Jones Pharmaceutical Ltd,Germany,Pharmacy,17303434,125,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Bashirian Group,Germany,Pharmacy,12813673,189,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Barrows, Zboncak and Reichert Pharma Plc",Germany,Pharmacy,11129458,197,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Torp-Fisher,Germany,Pharmacy,24617043,36,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Ondricka-Waters Pharmaceutical Ltd,Germany,Pharmacy,19729526,80,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Doyle-Tillman Pharmaceutical Limited,Germany,Pharmacy,21692895,61,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Cremin-Zemlak Pharmaceutical Limited,Germany,Pharmacy,16188040,143,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Schmitt, Berge and Haley Pharmaceutical Ltd",Germany,Pharmacy,19608106,82,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Schulist-Zulauf,Germany,Pharmacy,28393501,19,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Reinger Group Pharma Plc,Germany,Pharmacy,17164814,129,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Steuber Ltd Pharmaceutical Limited,Germany,Pharmacy,17510886,121,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Kub, Von and Herzog Pharmaceutical Ltd",Germany,Pharmacy,17819138,111,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Schaefer LLC Pharma Plc,Germany,Pharmacy,14407122,170,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Buckridge, Hand and Hyatt Pharmaceutical Ltd",Germany,Pharmacy,36107411,6,Key Account,,,,,,,,,,,,,,,,
,,,,,,,"Herman, Rice and Rippin Pharmaceutical Limited",Germany,Pharmacy,27376951,21,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Goldner-Tillman Pharmacy,Germany,Pharmacy,22575320,51,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Crist LLC,Germany,Pharmacy,14504025,169,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Pfeffer-Kirlin Pharmacy,Germany,Pharmacy,16240979,142,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Wiegand, Jast and Yost Pharmaceutical Ltd",Germany,Pharmacy,33075207,9,Key Account,,,,,,,,,,,,,,,,
,,,,,,,"Beahan, Littel and Ondricka",Germany,Pharmacy,15585678,156,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Weber Ltd Pharmacy,Germany,Pharmacy,13939423,174,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Crona PLC Pharmaceutical Ltd,Germany,Pharmacy,21130726,65,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Collins-Schmidt Pharmaceutical Limited,Germany,Pharmacy,12781136,190,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Funk PLC Pharm,Germany,Pharmacy,17589925,118,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Jast-Cruickshank Pharmaceutical Ltd,Germany,Pharmacy,19451890,83,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Veum and Sons Pharmaceutical Limited,Germany,Pharmacy,26826785,24,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Erdman, Senger and Oberbrunner Pharmaceutical Ltd",Germany,Hospital,14186478,171,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Corkery-Kovacek Pharm,Germany,Hospital,30091420,13,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Streich PLC Pharm,Germany,Hospital,25646105,31,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Koelpin, Luettgen and Abernathy Pharmaceutical Ltd",Germany,Hospital,20073196,77,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Barrows Inc Pharmacy,Germany,Hospital,26895847,22,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Leannon-West,Germany,Hospital,17512900,120,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Heller-Abernathy Pharmaceutical Limited,Germany,Hospital,20685879,69,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Mann-Waelchi Pharma Plc,Germany,Hospital,17692534,113,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Rosenbaum-Tromp Pharmacy,Germany,Hospital,26339532,26,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Daugherty-Rempel Pharm,Germany,Hospital,23762988,41,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Runte-Marquardt Pharm,Germany,Hospital,17661974,115,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Heathcote, Grant and Witting Pharmacy",Germany,Hospital,29273736,16,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Murray PLC Pharma Plc,Germany,Hospital,21289048,63,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Herman-Koss Pharmaceutical Ltd,Germany,Hospital,22849800,48,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Watsica, Larson and Labadie Pharmaceutical Ltd",Germany,Hospital,30633647,12,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Kozey-Schroeder Pharm,Germany,Hospital,14886170,165,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Wuckert, Kreiger and Howell",Germany,Hospital,17876232,110,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Daugherty-Rempel Pharmaceutical Limited,Germany,Hospital,17559603,119,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Gerlach LLC Pharma Plc,Germany,Hospital,15092746,162,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Blanda, Stehr and Gleason Pharma Plc",Germany,Hospital,17899263,109,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Turner Ltd,Germany,Hospital,18452148,97,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Mills Inc Pharmaceutical Ltd,Germany,Hospital,45939009,1,Key Account,,,,,,,,,,,,,,,,
,,,,,,,Hartmann-Wolf Pharmaceutical Limited,Germany,Hospital,15002150,163,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,McDermott Group Pharmacy,Germany,Hospital,15516544,159,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Langworth, Olson and Satterfield Pharm",Germany,Hospital,15772110,153,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Mraz Group Pharma Plc,Germany,Hospital,23133178,47,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Legros-Runte Pharmaceutical Limited,Germany,Hospital,16007135,148,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Nader-Gaylord Pharmacy,Germany,Hospital,17267414,127,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Sipes and Sons Pharma Plc,Germany,Hospital,16316094,140,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Pfannerstill Group,Germany,Hospital,18414251,99,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Bosco-Marquardt Pharmaceutical Ltd,Germany,Hospital,29978482,14,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Denesik, Walter and Beatty Pharmacy",Germany,Hospital,15682041,154,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Buckridge-Davis Pharmaceutical Limited,Germany,Hospital,26096674,28,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,McDermott Inc Pharmacy,Germany,Hospital,31550539,10,Key Account,,,,,,,,,,,,,,,,
,,,,,,,"Schowalter, Runolfsson and VonRueden Pharmaceutical Limited",Germany,Hospital,31069500,11,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Weber Ltd Pharmaceutical Ltd,Germany,Hospital,16649251,134,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Gerhold, Mills and Effertz Pharma Plc",Germany,Hospital,10465861,198,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Corkery, Trantow and Ferry Pharm",Germany,Hospital,26198762,27,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Vandervort LLC Pharmaceutical Ltd,Germany,Hospital,20964778,66,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Kutch-Marks Pharmaceutical Limited,Germany,Hospital,20617497,71,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Gottlieb-Koss Pharmacy,Germany,Hospital,17658742,116,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Balistreri, Torp and Gulgowski",Germany,Hospital,28802458,17,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Abernathy and Sons Pharmaceutical Limited,Germany,Hospital,18857078,90,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Boyer and Sons Pharmaceutical Ltd,Germany,Hospital,15911451,151,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Nitzsche, Effertz and Maggio",Germany,Hospital,25339434,34,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Zemlak Group Pharmacy,Germany,Hospital,12872896,188,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Feest PLC Pharmaceutical Ltd,Germany,Hospital,18496533,93,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Trantow LLC Pharmacy,Germany,Hospital,24450589,38,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Senger-Kirlin Pharmaceutical Ltd,Germany,Hospital,33714954,8,Key Account,,,,,,,,,,,,,,,,
,,,,,,,Gerlach PLC Pharmaceutical Ltd,Germany,Hospital,18232829,102,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Prohaska-Kuhic Pharmaceutical Limited,Germany,Hospital,15249768,161,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Kutch, Daniel and Ortiz Pharm",Germany,Hospital,16809160,131,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Gulgowski-Vandervort Pharm,Germany,Hospital,16454043,138,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Nader-Borer Pharmaceutical Limited,Germany,Hospital,13453890,185,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Nader-Borer Pharm,Germany,Hospital,25575623,32,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,"Nolan, DuBuque and Schultz",Germany,Hospital,16112843,146,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Koch, Borer and Hagenes Pharm",Germany,Hospital,26877575,23,Growth Account,,,,,,,,,,,,,,,,
,,,,,,,Pfeffer-Kirlin Pharmaceutical Limited,Germany,Hospital,19226448,85,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Barrows-Kohler Pharm,Germany,Hospital,17624215,117,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Kirlin, Hamill and Dickinson Pharmaceutical Limited",Germany,Hospital,12394267,192,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Parisian Ltd Pharma Plc,Germany,Hospital,15635527,155,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Mraz-Kutch Pharmacy,Germany,Hospital,11938923,194,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Kihn Group Pharmaceutical Limited,Germany,Hospital,21723459,59,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Crona PLC Pharmacy,Germany,Hospital,15562126,158,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Wehner-Stehr Pharm,Germany,Hospital,13605696,181,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Tillman Group Pharmaceutical Limited,Germany,Hospital,12103140,193,Standard Account,,,,,,,,,,,,,,,,
